EBS;place_name;country;disease_name;species_name;alert_id;source;href;issue_date;alert_tag;Manualclass;Confirmed ;Empres-i ref;reviewed;sc;sd;cc;cd;ro;long_name;lon;lat;Pointssamplingtool;Safesignal
HealthMap;"Bengaluru; Karnataka; India";India;Avian Influenza;Poultry (domestic);5889207;indiantribune;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH7WrMr6FvK5-ZX90-XnsYaCpnbJg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=z949W6j1GtaG3wH1g4O4CA&url=https://www.indiantribune.com/centre-confirmed-bird-flu-outbreak-eastern-part-bengaluru;05-janv-18;Breaking;Relevant;no;;8/28/19 12:57;;;;;;Google News;77.603287;12.97623;120;52,94
HealthMap;"Jakarta Capital Region; Indonesia";Indonesia;Avian Influenza;Birds;5890661;antara;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNELTGfhDznKBKldqfvzHawVlcigFQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779947827497&ei=HZI_W9iUNcbz3gG60LagDw&url=https://en.antaranews.com/news/116503/fao-warns-livestock-farmers-of-new-bird-flu-virus;06-juin-18;Warning;Irrelevant;no;;8/28/19 12:31;;;;;;Google News;106.806297;-6.18619;149;41,57
HealthMap;"Shenzhen; Guangdong Province; China";China;Avian Influenza H9N2;Humans;5942906;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHRFUx6DNIw-_OjixxgnBmRitZDEQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=SNZiW7jGGorG3wH-iY3IDg&url=http://outbreaknewstoday.com/h9n2-avian-influenza-case-reported-guangdong-province-china-78738/;02-Aug-2018;Breaking;Relevant;yes;239440;8/27/19 10:57;;;1;;;Google News;114.068298;22.54554;132;48,24
HealthMap;"Tỉnh Nghệ An; Nghệ An; Vietnam";Vietnam;Avian Influenza H5N6;Ducks (domestic);5942909;vnexpress international;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHUBNtKhuLNUopAl8135TUuqmJhKg&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=QdZiW_iePJnE3wHr4p_gAQ&url=https://e.vnexpress.net/news/news/bird-flu-scare-sends-thousands-of-ducklings-to-their-death-in-vietnam-3786617.html;02-Aug-2018;Breaking;Relevant;yes;238790;08/05/2018 07:38;;;2400;;;Google News;104.916672;19.25;46;81,96
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Chicken;5945500;free malaysia today;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF5ctK-sEd1tpOTrhAItU3ZVXzxxA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779990593879&ei=J3xkW5DQKYrG3wH-iY3IDg&url=http://www.freemalaysiatoday.com/category/nation/2018/08/03/sabah-bird-flu-epidemic-contained-says-minister/;03-Aug-2018;Breaking;Relevant;no;;08/04/2018 17:02;;;;;;Google News;116.333328;6.08333;83;67,45
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Chicken;5945501;new straits times online;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGRLv3hj1LzVle1s392-GsN6nerlg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779990593879&ei=J3xkW5DQKYrG3wH-iY3IDg&url=https://www.nst.com.my/news/nation/2018/08/397661/tuaran-district-declared-bird-flu-outbreak-area;03-Aug-2018;Breaking;Relevant;no;;8/26/19 16:10;;;;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Vietnam;Vietnam;Avian Influenza H5N6;Poultry (domestic);5945608;twitter;https://twitter.com/Reuters_Health/statuses/1025390812467748864;03-Aug-2018;Breaking;Relevant;yes;238790;8/26/19 16:34;;;;1590;;Twitter;108.457001;14.9447;70;72,55
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Birds;5947410;thestar;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNG5DmLE6j1mdHC8IjjUur1aEg-SYw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779991425818&ei=iLFlW8DhHoTa3gH2p5XABg&url=https://www.thestar.com.my/news/nation/2018/08/04/caution-advised-for-sabahs-poultry-farmers-after-one-bird-flu-case-reported-near-kk/;04-Aug-2018;Warning;Irrelevant;no;;8/26/19 16:08;;;;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Malaysia;Malaysia;Avian Influenza H5N1;Poultry (domestic);5949897;kfgo;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNF-6-prGOl6MeJ2IBTg0NbnYgXxHQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779994135521&ei=azhoW5j0KoTa3gH2p5XABg&url=https://kfgo.com/news/articles/2018/aug/06/malaysia-reports-h5n1-bird-flu-outbreak-on-farm-oie/;06-Aug-2018;Breaking;Relevant;yes;238793;8/26/19 15:43;;;;3000;;Google News;113.191803;2.5746;20;92,16
HealthMap;"Ho Chi Minh; Vietnam";Vietnam;Avian Influenza H5N1;Humans;5958630;worldbulletin;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNE0DlNGCZplwzePL1LHPOLDiu7VmA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=S35tW9DqNcXP3gHqkbyYAQ&url=http://www.worldbulletin.net/news/204858/bird-flu-kills-one-in-vietnam;10-Aug-2018;Breaking;Relevant;no;;8/26/19 14:58;;;;1;;Google News;106.629784;10.82327;120;52,94
HealthMap;"Tuaran; Sabah; Malaysia";Malaysia;Avian Influenza;Poultry (domestic);5958698;thehymalianinsight;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEUXy8PM4PQPzUWHFWGhMMlHiKYYQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=ZoxtW6i6BJnq3wGd_5S4Cw&url=https://www.themalaysianinsight.com/s/86605;07-Aug-2018;Breaking;Relevant;yes;239195;8/26/19 14:55;;;2;;;Google News;116.333328;6.08333;83;67,45
HealthMap;Sabbah;Malaysia;Avian Influenza;Poultry (domestic);5960528;new straits times online;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEOrucIBGOaliHyAALA3Ab7NZZvaA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=zc9uW5DrIITa3gH2p5XABg&url=https://www.nst.com.my/news/nation/2018/08/400397/bird-flu-outbreak-sabah-vet-dept-tells-residents-not-hide-fowls;11-Aug-2018;Breaking;Relevant;yes;238793;08/12/2018 22:28;;;;;;Google News;117.131157;5.348619;48;81,18
